Geo_FIPS,Geo_NAME,Geo_QNAME,Geo_NATION,Geo_STATE,Geo_COUNTY,SE_T006_001,"Persons Without Insurance (Population Under 65 Years, 2013 est.)",SE_NV005_001,SE_NV005_003
34001,Atlantic County,"Atlantic County, New Jersey",0,34,1,4.439942012,12.94584819,2542,20115
34003,Bergen County,"Bergen County, New Jersey",0,34,3,3.819142565,10.11810823,7907,57509
34005,Burlington County,"Burlington County, New Jersey",0,34,5,3.075980774,7.008097317,2963,18781
34007,Camden County,"Camden County, New Jersey",0,34,7,3.478711035,10.01412273,4099,30774
34009,Cape May County,"Cape May County, New Jersey",0,34,9,4.390155409,10.7639938,726,5344
34011,Cumberland County,"Cumberland County, New Jersey",0,34,11,4.564602849,15.38133632,1647,12629
34013,Essex County,"Essex County, New Jersey",0,34,13,4.697542044,14.86180017,9078,71954
34015,Gloucester County,"Gloucester County, New Jersey",0,34,15,3.186433518,6.663576248,2112,11931
34017,Hudson County,"Hudson County, New Jersey",0,34,17,4.798859677,16.14664831,6666,72233
34019,Hunterdon County,"Hunterdon County, New Jersey",0,34,19,3.368536767,5.810458826,858,4350
34021,Mercer County,"Mercer County, New Jersey",0,34,21,4.737302869,11.46561799,3842,24724
34023,Middlesex County,"Middlesex County, New Jersey",0,34,23,4.684767553,10.7083905,8760,53780
34025,Monmouth County,"Monmouth County, New Jersey",0,34,25,3.994346103,8.183561593,5454,30767
34027,Morris County,"Morris County, New Jersey",0,34,27,3.699614489,6.475477639,4021,19414
34029,Ocean County,"Ocean County, New Jersey",0,34,29,3.508120157,8.854121143,5288,28364
34031,Passaic County,"Passaic County, New Jersey",0,34,31,5.639687113,17.49260269,6871,52556
34033,Salem County,"Salem County, New Jersey",0,34,33,3.906990305,10.17059655,536,3744
34035,Somerset County,"Somerset County, New Jersey",0,34,35,4.163698676,7.472372925,3098,15302
34037,Sussex County,"Sussex County, New Jersey",0,34,37,3.432272365,6.406875227,991,5636
34039,Union County,"Union County, New Jersey",0,34,39,4.972923045,15.55278225,6676,53214
34041,Warren County,"Warren County, New Jersey",0,34,41,3.973324628,8.820156817,852,5692
